Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"threading.Timer",1,0.00,0.00,0.00,0.00,"threading.py",
"selectors._fileobj_lookup",1,15.16,0.00,215.31,0.00,"selectors.py",
"bottle.<lambda>",9,0.00,0.00,0.00,0.00,"bottle.py",
"email.header._Accumulator",1,0.00,0.00,0.00,0.00,"header.py",
"re.sub",1,0.01,0.00,0.08,0.00,"re.py",
"string.Template",1,0.00,0.00,0.00,0.00,"string.py",
"bottle.ConfigDict.meta_get",5,0.00,0.00,0.00,0.00,"bottle.py",
"datetime.timedelta.__neg__",2,0.00,0.00,0.00,0.00,"datetime.py",
"bottle.<lambda>",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.LocalResponse",1,0.00,0.00,0.00,0.00,"bottle.py",
"dict.copy",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sys.getfilesystemencoding",1,0.00,0.00,0.00,0.00,"sys",
"_collections_abc.__subclasshook__",7,0.00,0.00,0.00,0.00,"_collections_abc.py",
"dis.Bytecode",1,0.00,0.00,0.00,0.00,"dis.py",
"subprocess.CompletedProcess",1,0.00,0.00,0.00,0.00,"subprocess.py",
"__future__._Feature",1,0.00,0.00,0.00,0.00,"__future__.py",
"email.header._ValueFormatter",1,0.00,0.00,0.00,0.00,"header.py",
"string.Formatter",1,0.00,0.00,0.00,0.00,"string.py",
"<frozen importlib._lock_unlock_module",2,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"bdb.Breakpoint",1,0.00,0.00,0.00,0.00,"bdb.py",
"bottle._ImportRedirect.find_spec",3,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.MeinheldServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.WSGIHeaderDict",1,0.00,0.00,0.00,0.00,"bottle.py",
"calendar.HTMLCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"configparser.BasicInterpolation",1,0.00,0.00,0.07,0.00,"configparser.py",
"email._parseaddr.AddrlistClass",1,0.00,0.00,0.00,0.00,"_parseaddr.py",
"ntpath.dirname",1,0.00,0.00,0.01,0.00,"ntpath.py",
"opcode.jabs_op",6,0.00,0.00,0.00,0.00,"opcode.py",
"threading._RLock",1,0.00,0.00,0.00,0.00,"threading.py",
"contextlib.AsyncExitStack",1,0.00,0.00,0.00,0.00,"contextlib.py",
"email (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"mimetypes.MimeTypes",1,0.00,0.00,0.00,0.00,"mimetypes.py",
"bottle.lazy_attribute.__get__",1,0.00,0.00,0.00,0.00,"bottle.py",
"calendar.TextCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"selectors._BaseSelectorImpl",1,0.00,0.00,0.00,0.00,"selectors.py",
"tempfile._RandomNameSequence",1,0.00,0.00,0.00,0.00,"tempfile.py",
"bottle.Bottle.reset",2,0.00,0.00,0.00,0.00,"bottle.py",
"email._policybase._PolicyBase",1,0.00,0.00,0.00,0.00,"_policybase.py",
"json.decoder.JSONDecoder",1,0.00,0.00,0.00,0.00,"decoder.py",
"ssl.Purpose",1,0.00,0.00,0.01,0.00,"ssl.py",
"_collections_abc.get",2,0.00,0.00,0.00,0.00,"_collections_abc.py",
"_hashlib.openssl_sha384",1,0.00,0.00,0.00,0.00,"_hashlib",
"<string>.<lambda>",4,0.00,0.00,0.00,0.00,"(string)",
"bottle.FormsDict",1,0.00,0.00,0.00,0.00,"bottle.py",
"code.InteractiveInterpreter",1,0.00,0.00,0.00,0.00,"code.py",
"pickle._Framer",1,0.00,0.00,0.00,0.00,"pickle.py",
"set.difference_update",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"bottle.<listcomp>",5,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.DictProperty",1,0.00,0.00,0.00,0.00,"bottle.py",
"configparser.ConfigParser",1,0.00,0.00,0.00,0.00,"configparser.py",
"configparser.DuplicateOptionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"email.header.Header",1,0.00,0.00,0.00,0.00,"header.py",
"subprocess.TimeoutExpired",1,0.00,0.00,0.00,0.00,"subprocess.py",
"tempfile._TemporaryFileCloser",1,0.00,0.00,0.00,0.00,"tempfile.py",
"_sre.unicode_iscased",5,0.00,0.00,0.00,0.00,"_sre",
"bottle.ResourceManager.__init__",1,0.00,0.00,0.00,0.00,"bottle.py",
"contextlib.AbstractAsyncContextManager",1,0.00,0.00,0.00,0.00,"contextlib.py",
"opcode.jrel_op",5,0.00,0.00,0.00,0.00,"opcode.py",
"bottle.ResourceManager",1,0.00,0.00,0.00,0.00,"bottle.py",
"configparser.ExtendedInterpolation",1,0.01,0.00,0.07,0.00,"configparser.py",
"email._policybase.Compat32",1,0.00,0.00,0.00,0.00,"_policybase.py",
"email.message.EmailMessage",1,0.00,0.00,0.00,0.00,"message.py",
"selectors._PollLikeSelector",1,0.00,0.00,0.00,0.00,"selectors.py",
"ast.NodeVisitor",1,0.00,0.00,0.00,0.00,"ast.py",
"wsgiref.simple_server.WSGIServer",1,0.00,0.00,0.00,0.00,"simple_server.py",
"EnumMeta.mro",5,0.00,0.00,0.00,0.00,"Unknown",
"_compression.BaseStream",1,0.00,0.00,0.00,0.00,"_compression.py",
"_hashlib.openssl_sha512",1,0.00,0.00,0.00,0.00,"_hashlib",
"bottle.HeaderProperty",1,0.00,0.00,0.00,0.00,"bottle.py",
"datetime._create",3,0.00,0.00,0.00,0.00,"datetime.py",
"functools.lru_cache",1,0.00,0.00,0.00,0.00,"functools.py",
"selectors._SelectorMapping",1,0.00,0.00,0.00,0.00,"selectors.py",
"str.lstrip",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"_weakrefset.WeakSet.add",1,0.00,0.00,0.00,0.00,"_weakrefset.py",
"bottle.ServerAdapter.__init__",1,0.00,0.00,0.00,0.00,"bottle.py",
"code.InteractiveConsole",1,0.00,0.00,0.00,0.00,"code.py",
"pprint._safe_key",1,0.00,0.00,0.00,0.00,"pprint.py",
"wsgiref.handlers.SimpleHandler",1,0.00,0.00,0.00,0.00,"handlers.py",
"email.parser.Parser",1,0.00,0.00,0.00,0.00,"parser.py",
"enum.<lambda>",9,0.00,0.00,0.00,0.00,"enum.py",
"inspect._ClassFinder",1,0.00,0.00,0.00,0.00,"inspect.py",
"selectors.__init__",1,0.00,0.00,0.00,0.00,"selectors.py",
"socketserver.ThreadingMixIn",1,0.00,0.00,0.00,0.00,"socketserver.py",
"wsgiref.util.FileWrapper",1,0.00,0.00,0.00,0.00,"util.py",
"bottle.<genexpr>",5,0.00,0.00,0.00,0.00,"bottle.py",
"datetime.tzinfo",1,0.00,0.00,0.00,0.00,"datetime.py",
"socketserver._Threads",1,0.00,0.00,0.00,0.00,"socketserver.py",
"socketserver.UDPServer",1,0.00,0.00,0.00,0.00,"socketserver.py",
"ssl.<dictcomp>",1,0.00,0.00,0.00,0.00,"ssl.py",
"subprocess.Handle",1,0.00,0.00,0.00,0.00,"subprocess.py",
"threading._make_invoke_excepthook",1,0.00,0.00,0.00,0.00,"threading.py",
"threading.Condition._is_owned",2,0.00,0.00,0.00,0.00,"threading.py",
"bottle.JSONPlugin",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.lazy_attribute.__init__",1,0.00,0.00,0.00,0.00,"bottle.py",
"threading.Thread._set_native_id",1,0.00,0.00,0.00,0.00,"threading.py",
"urllib.parse.Quoter",1,0.00,0.00,0.00,0.00,"parse.py",
"_collections_abc.__init__",1,0.00,0.00,0.00,0.00,"_collections_abc.py",
"bottle.FixedHandler",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.HTTPResponse",1,0.00,0.00,0.00,0.00,"bottle.py",
"contextlib.nullcontext",1,0.00,0.00,0.00,0.00,"contextlib.py",
"bottle._ImportRedirect",1,0.00,0.00,0.00,0.00,"bottle.py",
"configparser.Error",1,0.00,0.00,0.00,0.00,"configparser.py",
"pickle._Unframer",1,0.00,0.00,0.00,0.00,"pickle.py",
"re.Match.group",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"weakref.KeyedRef",1,0.00,0.00,0.00,0.00,"weakref.py",
"bottle.<listcomp>",7,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.AutoServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"sre_parse.SubPattern.__delitem__",2,0.00,0.00,0.00,0.00,"sre_parse.py",
"threading.Event",1,0.00,0.00,0.00,0.00,"threading.py",
"urllib.parse._NetlocResultMixinStr",1,0.00,0.00,0.00,0.00,"parse.py",
"_sre.ascii_tolower",4,0.00,0.00,0.00,0.00,"_sre",
"calendar._localized_day.__init__",2,0.00,0.00,0.00,0.00,"calendar.py",
"contextlib.closing",1,0.00,0.00,0.00,0.00,"contextlib.py",
"subprocess.STARTUPINFO",1,0.00,0.00,0.00,0.00,"subprocess.py",
"threading.Semaphore",1,0.00,0.00,0.00,0.00,"threading.py",
"urllib.parse._ResultMixinStr",1,0.00,0.00,0.00,0.00,"parse.py",
"wsgiref.simple_server.ServerHandler",1,0.00,0.00,0.00,0.00,"simple_server.py",
"wsgiref.simple_server.WSGIServer.set_app",1,0.00,0.00,0.00,0.00,"simple_server.py",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"bdb.Tdb",1,0.00,0.00,0.00,0.00,"bdb.py",
"bottle.FileCheckerThread",1,0.00,0.00,0.00,0.00,"bottle.py",
"codeop.Compile",1,0.00,0.00,0.00,0.00,"codeop.py",
"wsgiref.handlers.CGIHandler",1,0.00,0.00,0.00,0.00,"handlers.py",
"ast._ABC",1,0.00,0.00,0.00,0.00,"ast.py",
"bottle._closeiter",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.HTTPError",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.view",3,0.00,0.00,0.00,0.00,"bottle.py",
"configparser.Interpolation",1,0.00,0.00,0.00,0.00,"configparser.py",
"enum.<genexpr>",5,0.00,0.00,0.00,0.00,"enum.py",
"http.client.IncompleteRead",1,0.00,0.00,0.00,0.00,"client.py",
"selectors._can_use",4,0.00,0.00,0.00,0.00,"selectors.py",
"socketserver.StreamRequestHandler",1,0.00,0.00,0.00,0.00,"socketserver.py",
"_weakrefset._IterationGuard",1,0.00,0.00,0.00,0.00,"_weakrefset.py",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"bottle._MultipartParser",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.Jinja2Template",1,0.00,0.00,0.00,0.00,"bottle.py",
"dis.Instruction",1,0.00,0.00,0.00,0.00,"dis.py",
"email.errors.MessageDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"http.client.HTTPMessage",1,0.00,0.00,0.00,0.00,"client.py",
"threading._DummyThread",1,0.00,0.00,0.00,0.00,"threading.py",
"urllib.parse._NetlocResultMixinBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"_sre.ascii_iscased",4,0.00,0.00,0.00,0.00,"_sre",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"calendar.LocaleHTMLCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"encodings.idna.Codec",1,0.00,0.00,0.00,0.00,"idna.py",
"shutil.Error",1,0.00,0.00,0.00,0.00,"shutil.py",
"signal._wraps",3,0.00,0.00,0.00,0.00,"signal.py",
"socketserver.BaseRequestHandler",1,0.00,0.00,0.00,0.00,"socketserver.py",
"uu.Error",1,0.00,0.00,0.00,0.00,"uu.py",
"ast.Str",1,0.00,0.00,0.00,0.00,"ast.py",
"contextlib.ExitStack",1,0.00,0.00,0.00,0.00,"contextlib.py",
"datetime._check_tzinfo_arg",5,0.00,0.00,0.00,0.00,"datetime.py",
"json.decoder.JSONDecodeError",1,0.00,0.00,0.00,0.00,"decoder.py",
"pickle.PickleError",1,0.00,0.00,0.00,0.00,"pickle.py",
"ast.NameConstant",1,0.00,0.00,0.00,0.00,"ast.py",
"bottle.RouteSyntaxError",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.ServerAdapter",1,0.00,0.00,0.00,0.00,"bottle.py",
"configparser.SafeConfigParser",1,0.00,0.00,0.00,0.00,"configparser.py",
"contextlib._RedirectStream",1,0.00,0.00,0.00,0.00,"contextlib.py",
"email.errors.NonPrintableDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"http.cookies.SimpleCookie",1,0.00,0.00,0.00,0.00,"cookies.py",
"_thread.RLock.__exit__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"ast.Bytes",1,0.00,0.00,0.00,0.00,"ast.py",
"bdb.BdbQuit",1,0.00,0.00,0.00,0.00,"bdb.py",
"bottle.AsyncioServerAdapter",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.CGIServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.CherryPyServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"copy.Error",1,0.00,0.00,0.00,0.00,"copy.py",
"email.feedparser.BytesFeedParser",1,0.00,0.00,0.00,0.00,"feedparser.py",
"email.parser.BytesParser",1,0.00,0.00,0.00,0.00,"parser.py",
"http.cookies.CookieError",1,0.00,0.00,0.00,0.00,"cookies.py",
"http.server.HTTPServer",1,0.00,0.00,0.00,0.00,"server.py",
"inspect.BlockFinder",1,0.00,0.00,0.00,0.00,"inspect.py",
"re.Match.end",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"subprocess.SubprocessError",1,0.00,0.00,0.00,0.00,"subprocess.py",
"warnings._OptionError",1,0.00,0.00,0.00,0.00,"warnings.py",
"wsgiref (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"ast.ExtSlice",1,0.00,0.00,0.00,0.00,"ast.py",
"ast.NodeTransformer",1,0.00,0.00,0.00,0.00,"ast.py",
"ast.Num",1,0.00,0.00,0.00,0.00,"ast.py",
"bottle.<listcomp>",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.cached_property",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.EventletServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.JSONPlugin.__init__",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.lazy_attribute",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.MultipartError",1,0.00,0.00,0.00,0.00,"bottle.py",
"calendar.Calendar.setfirstweekday",1,0.00,0.00,0.00,0.00,"calendar.py",
"calendar.different_locale",1,0.00,0.00,0.00,0.00,"calendar.py",
"email._policybase._PolicyBase.__init__",1,0.00,0.00,0.00,0.00,"_policybase.py",
"email.errors.HeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.MessageError",1,0.00,0.00,0.00,0.00,"errors.py",
"enum._make_class_unpicklable",1,0.00,0.00,0.00,0.00,"enum.py",
"inspect._void",1,0.00,0.00,0.00,0.00,"inspect.py",
"pdb._rstr",1,0.00,0.00,0.00,0.00,"pdb.py",
"pdb.Restart",1,0.00,0.00,0.00,0.00,"pdb.py",
"socket._GiveupOnSendfile",1,0.00,0.00,0.00,0.00,"socket.py",
"socketserver.DatagramRequestHandler",1,0.00,0.00,0.00,0.00,"socketserver.py",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"ast.Index",1,0.00,0.00,0.00,0.00,"ast.py",
"bottle.<genexpr>",2,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.AppEngineServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.BjoernServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.DieselServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.FapwsServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"codeop.CommandCompiler",1,0.00,0.00,0.00,0.00,"codeop.py",
"configparser.NoSectionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"contextlib.ContextDecorator",1,0.00,0.00,0.00,0.00,"contextlib.py",
"functools.cached_property.__set_name__",1,0.00,0.00,0.00,0.00,"functools.py",
"http.client.BadStatusLine",1,0.00,0.00,0.00,0.00,"client.py",
"inspect.ClassFoundException",1,0.00,0.00,0.00,0.00,"inspect.py",
"ntpath._get_bothseps",1,0.00,0.00,0.00,0.00,"ntpath.py",
"threading.<listcomp>",1,0.00,0.00,0.00,0.00,"threading.py",
"urllib.parse._ResultMixinBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"urllib.parse.DefragResult",1,0.00,0.00,0.00,0.00,"parse.py",
"warnings.WarningMessage",1,0.00,0.00,0.00,0.00,"warnings.py",
"wsgiref.handlers.IISCGIHandler",1,0.00,0.00,0.00,0.00,"handlers.py",
"ast.Ellipsis",1,0.00,0.00,0.00,0.00,"ast.py",
"ast.Param",1,0.00,0.00,0.00,0.00,"ast.py",
"bottle.CheetahTemplate",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.RouteError",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.WSGIFileWrapper",1,0.00,0.00,0.00,0.00,"bottle.py",
"calendar.IllegalWeekdayError",1,0.00,0.00,0.00,0.00,"calendar.py",
"contextlib._GeneratorContextManagerBase",1,0.00,0.00,0.00,0.00,"contextlib.py",
"email.parser.BytesHeaderParser",1,0.00,0.00,0.00,0.00,"parser.py",
"shutil.RegistryError",1,0.00,0.00,0.00,0.00,"shutil.py",
"socketserver._NoThreads",1,0.00,0.00,0.00,0.00,"socketserver.py",
"threading.BoundedSemaphore",1,0.00,0.00,0.00,0.00,"threading.py",
"urllib.parse.ParseResultBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"ast.Suite",1,0.00,0.00,0.00,0.00,"ast.py",
"bottle.<lambda>",5,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.ConfigDict._add_change_listener",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.GeventServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.RouteBuildError",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.RouteReset",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.TemplatePlugin.setup",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.WSGIRefServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"configparser.DuplicateSectionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"contextlib._AsyncGeneratorContextManager",1,0.00,0.00,0.00,0.00,"contextlib.py",
"contextlib._GeneratorContextManager",1,0.00,0.00,0.00,0.00,"contextlib.py",
"email.parser.HeaderParser",1,0.00,0.00,0.00,0.00,"parser.py",
"inspect.EndOfBlock",1,0.00,0.00,0.00,0.00,"inspect.py",
"pickle._Stop",1,0.00,0.00,0.00,0.00,"pickle.py",
"shutil.SameFileError",1,0.00,0.00,0.00,0.00,"shutil.py",
"urllib.parse.ParseResult",1,0.00,0.00,0.00,0.00,"parse.py",
"urllib.parse.SplitResult",1,0.00,0.00,0.00,0.00,"parse.py",
"wsgiref.handlers.BaseCGIHandler",1,0.00,0.00,0.00,0.00,"handlers.py",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"ast.AugLoad",1,0.00,0.00,0.00,0.00,"ast.py",
"ast.slice",1,0.00,0.00,0.00,0.00,"ast.py",
"bottle.AiohttpUVLoopServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.BottleException",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.FlupFCGIServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.PasteServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.TornadoServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.TwistedServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.WaitressServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"calendar._localized_month.__init__",2,0.00,0.00,0.00,0.00,"calendar.py",
"configparser.InterpolationError",1,0.00,0.00,0.00,0.00,"configparser.py",
"encodings.idna.IncrementalDecoder",1,0.00,0.00,0.00,0.00,"idna.py",
"encodings.idna.IncrementalEncoder",1,0.00,0.00,0.00,0.00,"idna.py",
"http.client.UnknownProtocol",1,0.00,0.00,0.00,0.00,"client.py",
"inspect._empty",1,0.00,0.00,0.00,0.00,"inspect.py",
"pickle.PicklingError",1,0.00,0.00,0.00,0.00,"pickle.py",
"threading._MainThread",1,0.00,0.00,0.00,0.00,"threading.py",
"threading.daemon",1,0.00,0.00,0.00,0.00,"threading.py",
"threading.Thread._set_ident",1,0.00,0.00,0.00,0.00,"threading.py",
"warnings._processoptions",1,0.00,0.00,0.00,0.00,"warnings.py",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"<string> (module)",1,0.00,0.00,0.00,0.00,"(string)",
"ast.AugStore",1,0.00,0.00,0.00,0.00,"ast.py",
"bottle.<lambda>",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.CherootServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.GunicornServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.PluginError",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.StplSyntaxError",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.TemplateError",1,0.00,0.00,0.00,0.00,"bottle.py",
"configparser.InterpolationDepthError",1,0.00,0.00,0.00,0.00,"configparser.py",
"configparser.InterpolationMissingOptionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"configparser.InterpolationSyntaxError",1,0.00,0.00,0.00,0.00,"configparser.py",
"configparser.MissingSectionHeaderError",1,0.00,0.00,0.00,0.00,"configparser.py",
"configparser.NoOptionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"contextlib.redirect_stdout",1,0.00,0.00,0.00,0.00,"contextlib.py",
"email.errors.FirstHeaderLineIsContinuationDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.InvalidBase64PaddingDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.InvalidHeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.ObsoleteHeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"http.client.HTTPException",1,0.00,0.00,0.00,0.00,"client.py",
"pickle.UnpicklingError",1,0.00,0.00,0.00,0.00,"pickle.py",
"shutil._GiveupOnFastCopy",1,0.00,0.00,0.00,0.00,"shutil.py",
"shutil.ExecError",1,0.00,0.00,0.00,0.00,"shutil.py",
"shutil.ReadError",1,0.00,0.00,0.00,0.00,"shutil.py",
"shutil.SpecialFileError",1,0.00,0.00,0.00,0.00,"shutil.py",
"sre_parse.Tokenizer.seek",1,0.00,0.00,0.00,0.00,"sre_parse.py",
"threading.BrokenBarrierError",1,0.00,0.00,0.00,0.00,"threading.py",
"urllib (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"urllib.parse.DefragResultBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"urllib.parse.SplitResultBytes",1,0.00,0.00,0.00,0.00,"parse.py",
"weakref._Info",1,0.00,0.00,0.00,0.00,"weakref.py",
"bottle.<genexpr>",1,0.00,0.00,0.00,0.00,"bottle.py",
"bottle.RouterUnknownModeError",1,0.00,0.00,0.00,0.00,"bottle.py",
"contextlib.redirect_stderr",1,0.00,0.00,0.00,0.00,"contextlib.py",
"email.errors.BoundaryError",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.CharsetError",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.InvalidBase64CharactersDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.MessageParseError",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.MissingHeaderBodySeparatorDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"http.client.CannotSendRequest",1,0.00,0.00,0.00,0.00,"client.py",
"http.client.InvalidURL",1,0.00,0.00,0.00,0.00,"client.py",
"http.client.LineTooLong",1,0.00,0.00,0.00,0.00,"client.py",
"http.client.NotConnected",1,0.00,0.00,0.00,0.00,"client.py",
"http.client.RemoteDisconnected",1,0.00,0.00,0.00,0.00,"client.py",
"http.client.ResponseNotReady",1,0.00,0.00,0.00,0.00,"client.py",
"http.client.UnknownTransferEncoding",1,0.00,0.00,0.00,0.00,"client.py",
"socketserver.ThreadingUDPServer",1,0.00,0.00,0.00,0.00,"socketserver.py",
"subprocess._use_posix_spawn",1,0.00,0.00,0.00,0.00,"subprocess.py",
"email.errors.CloseBoundaryNotFoundDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.HeaderMissingRequiredValue",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.InvalidBase64LengthDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.MultipartConversionError",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.MultipartInvariantViolationDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.NoBoundaryInMultipartDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.NonASCIILocalPartDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.StartBoundaryNotFoundDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.UndecodableBytesDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"encodings.idna.StreamReader",1,0.00,0.00,0.00,0.00,"idna.py",
"encodings.idna.StreamWriter",1,0.00,0.00,0.00,0.00,"idna.py",
"http.client.CannotSendHeader",1,0.00,0.00,0.00,0.00,"client.py",
"http.client.ImproperConnectionState",1,0.00,0.00,0.00,0.00,"client.py",
"http.client.UnimplementedFileMode",1,0.00,0.00,0.00,0.00,"client.py",
"http.server.ThreadingHTTPServer",1,0.00,0.00,0.00,0.00,"server.py",
"selectors.__enter__",1,0.00,0.00,0.00,0.00,"selectors.py",
"socketserver.ThreadingTCPServer",1,0.00,0.00,0.00,0.00,"socketserver.py",
"email.errors.HeaderParseError",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.InvalidMultipartContentTransferEncodingDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"email.errors.MisplacedEnvelopeHeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"list.append",1,0.00,0.00,0.00,0.00,"Unknown",
"type.__init_subclass__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
